Sample,Elapsed_s,X_m,Y_m,Heading_deg,Command_X,Command_Y,Command_Z,LidarLocalizationValid
1,0.2029999999795109,0.0,-0.0,0.0,0.0,0.0,0.0,True
2,0.3119999999762513,0.0,-0.0,0.0,0.0,0.0,0.0,True
3,0.4220000000204891,0.0,-0.0,0.0,0.0,0.0,0.0,True
4,0.5310000000172295,0.0,-0.0,-0.0099945068359375,0.0,0.0,0.0,True
5,0.6410000000032596,0.0,-0.0,-0.0099945068359375,0.0,0.0,0.0,True
6,0.7810000000172295,0.0,-0.0,-0.0099945068359375,0.0,0.0,0.0,True
7,0.8910000000032596,0.0,-0.0,0.0,0.0,0.0,0.0,True
8,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,True
9,1.1089999999967404,0.0,-0.0,-0.0099945068359375,0.0,0.0,0.0,True
10,1.2189999999827705,0.0,-0.0,-0.0200042724609375,0.0,0.0,0.0,True
11,1.327999999979511,0.0,-0.0,-0.0099945068359375,0.0,0.0,0.0,True
12,1.4369999999762513,0.0,-0.0,-0.0099945068359375,0.0,0.0,0.0,True
13,1.547000000020489,0.0,-0.0,-0.029998779296875,0.0,0.0,0.0,True
14,1.6560000000172295,0.0,-0.0,-0.029998779296875,0.0,0.0,0.0,True
15,1.7810000000172295,0.0,-0.0,-0.0200042724609375,0.0,0.0,0.0,True
16,1.875,0.0,-0.0,-0.0200042724609375,0.0,0.0,0.0,True
17,1.9839999999967404,0.0,-0.0,-0.029998779296875,0.0,0.0,0.0,True
18,2.0939999999827705,0.0,-0.0,-0.0399932861328125,0.0,0.0,0.0,True
19,2.202999999979511,0.0,-0.0,-0.029998779296875,0.0,0.25,0.0,True
20,2.327999999979511,0.0,-0.0,-0.029998779296875,0.0,0.25,0.0,True
21,2.4369999999762513,0.007196594121509567,-0.0003018486207267948,0.57000732421875,0.0,0.25,0.0,True
22,2.547000000020489,0.029613564531443235,-0.0018718160578354954,0.779998779296875,0.0,0.25,0.0,True
23,2.6560000000172295,0.04172679144540853,-0.0023838496747392345,0.8000030517578125,0.0,0.25,0.0,True
24,2.7660000000032596,0.05263973579855657,-0.002889574267683555,0.8300018310546875,0.0,0.25,0.0,True
25,2.875,0.06498926549882288,-0.0035697171487310167,0.9799957275390625,0.0,0.25,0.0,True
26,2.9839999999967404,0.07841902166595133,-0.004220269008080113,1.040008544921875,0.0,0.25,0.0,True
27,3.0939999999827705,0.09040565848602634,-0.005000343964001764,1.100006103515625,0.0,0.25,0.0,True
28,3.202999999979511,0.10045731691786951,-0.005234597101132308,1.279998779296875,0.0,0.25,0.0,True
29,3.327999999979511,0.11950399630617983,-0.0060673967551816005,1.4199981689453125,0.0,0.25,0.0,True
30,3.452999999979511,0.12779873866203545,-0.005571436095530315,1.4900054931640625,0.0,0.25,0.0,True
31,3.6560000000172295,0.1527115402854938,-0.007623486487489746,1.6300048828125,0.0,0.25,0.0,True
32,3.7810000000172295,0.16516846113034858,-0.008549043060997,1.75,0.0,0.25,0.0,True
33,3.8910000000032596,0.17589218752757427,-0.009007102691476063,1.779998779296875,0.0,0.25,0.0,True
34,3.9839999999967404,0.1850899571281867,-0.009733816562322847,1.8899993896484375,0.0,0.25,0.0,True
35,4.10899999999674,0.1935308255085886,-0.010141812874098264,2.0099945068359375,0.0,0.25,0.0,True
36,4.25,0.21616623551977787,-0.011930587443491942,2.1999969482421875,0.0,0.25,0.0,True
37,4.35899999999674,0.22800590351624492,-0.013161957226720956,2.30999755859375,0.0,0.25,0.0,True
38,4.4689999999827705,0.23924133647761683,-0.013992909946154476,2.3600006103515625,0.0,0.25,0.0,True
39,4.577999999979511,0.24978269451127508,-0.014904770497236814,2.4499969482421875,0.0,0.25,0.0,True
40,4.686999999976251,0.26318461916986113,-0.016045745833150177,2.4900054931640625,0.0,0.25,0.0,True
