Sample,Timestamp,Elapsed_s,X_m,Y_m,Heading_deg,Command_X,Command_Y,Command_Z,Motion,LocalizationValid
1,10:37:02,0.875,-0.008305775910364781,-0.0004028275168710787,-0.010009765625,0.0,0.25,0.0,FORWARD,True
2,10:37:03,1.077999999979511,-0.02115605872288186,-0.001706682590130558,-0.0200042724609375,0.0,0.25,0.0,FORWARD,True
3,10:37:03,1.2820000000065193,-0.014586546223128606,0.0008760290752860146,0.459991455078125,0.0,0.25,0.0,FORWARD,True
4,10:37:03,1.4849999999860302,0.006330147632923438,0.00198716975398697,0.5999908447265625,0.0,0.25,0.0,FORWARD,True
5,10:37:03,1.6880000000237487,0.01933828481479411,-0.0014908120765757854,0.7599945068359375,0.0,0.25,0.0,FORWARD,True
6,10:37:03,1.8910000000032596,0.01933828481479411,-0.0014908120765757854,0.7899932861328125,0.0,0.25,0.0,FORWARD,True
7,10:37:04,2.0939999999827705,0.01933828481479411,-0.0014908120765757854,0.8499908447265625,0.0,0.25,0.0,FORWARD,True
8,10:37:04,2.297000000020489,0.02708859554909889,0.001284420531677717,0.8499908447265625,0.0,0.25,0.0,FORWARD,True
9,10:37:04,2.5,0.03899759077236199,-0.0017704669800375076,1.029998779296875,0.0,0.25,0.0,FORWARD,True
10,10:37:04,2.702999999979511,0.08490057654266826,-0.003958398982718438,1.089996337890625,0.0,0.25,0.0,FORWARD,True
11,10:37:04,2.9070000000065193,0.09181038447278178,-0.001896599248574811,1.19000244140625,0.0,0.25,0.0,FORWARD,True
12,10:37:05,3.10999999998603,0.09181038447278178,-0.001896599248574811,1.0999908447265625,0.0,0.25,0.0,FORWARD,True
13,10:37:05,3.3130000000237487,0.10118473744551112,-0.0028499377526712754,1.1699981689453125,0.0,0.25,0.0,FORWARD,True
14,10:37:05,3.5160000000032596,0.12489458903539297,-0.003895542524901677,1.149993896484375,0.0,0.25,0.0,FORWARD,True
15,10:37:05,3.7189999999827705,0.14483390080007813,-0.0037709777657437818,1.1699981689453125,0.0,0.25,0.0,FORWARD,True
16,10:37:05,3.922000000020489,0.16098034755280782,-0.006975977487271954,1.17999267578125,0.0,0.25,0.0,FORWARD,True
17,10:37:06,4.125,0.16788483714803726,-0.004935238873439971,1.149993896484375,0.0,0.25,0.0,FORWARD,True
18,10:37:06,4.3439999999827705,0.17563007969345795,-0.005054342490600248,1.149993896484375,0.0,0.25,0.0,FORWARD,True
19,10:37:06,4.532000000006519,0.18838666374915577,-0.005303706917661548,1.1699981689453125,0.0,0.25,0.0,FORWARD,True
20,10:37:06,4.73499999998603,0.20659311454099946,-0.009587357743415717,1.19000244140625,0.0,0.25,0.0,FORWARD,True
21,10:37:06,4.938000000023749,0.22171654572572955,-0.01147402567854713,1.1999969482421875,0.0,0.25,0.0,FORWARD,True
22,10:37:07,5.14100000000326,0.22805239263608573,-0.014839587069761405,1.3000030517578125,0.0,0.25,0.0,FORWARD,True
23,10:37:07,5.3439999999827705,0.24889782023057286,-0.013327518739071925,1.339996337890625,0.0,0.25,0.0,FORWARD,True
24,10:37:07,5.547000000020489,0.267824682243918,-0.012907374352376159,1.42999267578125,0.0,0.25,0.0,FORWARD,True
25,10:37:07,5.75,0.2818525485306919,-0.019716412160087324,1.459991455078125,0.0,0.25,0.0,FORWARD,True
26,10:37:08,5.9689999999827705,0.2818525485306919,-0.019716412160087324,1.399993896484375,0.0,0.25,0.0,FORWARD,True
27,10:37:08,6.172000000020489,0.2818525485306919,-0.019716412160087324,1.3300018310546875,0.0,0.25,0.0,FORWARD,True
28,10:37:08,6.375,0.29312238448788136,-0.020247832259299357,1.42999267578125,0.0,0.25,0.0,FORWARD,True
29,10:37:08,6.577999999979511,0.31087822530169673,-0.017946261703097113,1.459991455078125,0.0,0.25,0.0,FORWARD,True
30,10:37:08,6.782000000006519,0.32279995597756284,-0.01566535643948797,1.410003662109375,0.0,0.25,0.0,FORWARD,True
31,10:37:09,6.98499999998603,0.3446537711285107,-0.01580796979835669,1.3499908447265625,0.0,0.25,0.0,FORWARD,True
32,10:37:09,7.188000000023749,0.3535436735626016,-0.016236918097384204,1.25,0.0,0.25,0.0,FORWARD,True
33,10:37:09,7.39100000000326,0.3772507736247486,-0.01781416083503604,1.19000244140625,0.0,0.25,0.0,FORWARD,True
34,10:37:09,7.5939999999827705,0.3772507736247486,-0.01781416083503604,1.17999267578125,0.0,0.25,0.0,FORWARD,True
35,10:37:09,7.797000000020489,0.40446726865572635,-0.011425149295606438,1.149993896484375,0.0,0.25,0.0,FORWARD,True
36,10:37:10,8.0,0.40446726865572635,-0.011425149295606438,1.209991455078125,0.0,0.25,0.0,FORWARD,True
37,10:37:10,8.202999999979511,0.4227689104898331,-0.017355859411272805,1.2299957275390625,0.0,0.25,0.0,FORWARD,True
38,10:37:10,8.40700000000652,0.43249852524473337,-0.01810044323489194,1.209991455078125,0.0,0.25,0.0,FORWARD,True
39,10:37:10,8.60999999998603,0.43249852524473337,-0.01810044323489194,1.3699951171875,0.0,0.25,0.0,FORWARD,True
40,10:37:10,8.813000000023749,0.4412151248449644,-0.0195281488981101,1.399993896484375,0.0,0.25,0.0,FORWARD,True
41,10:37:11,9.03200000000652,0.4412151248449644,-0.0195281488981101,1.30999755859375,0.0,0.25,0.0,FORWARD,True
42,10:37:11,9.23499999998603,0.4412151248449644,-0.0195281488981101,1.3199920654296875,0.0,0.25,0.0,FORWARD,True
43,10:37:11,9.438000000023749,0.4563276602245565,-0.015162820784515415,1.209991455078125,0.0,0.25,0.0,FORWARD,True
44,10:37:11,9.64100000000326,0.4660474060901396,-0.015343496136171923,1.0999908447265625,0.0,0.25,0.0,FORWARD,True
45,10:37:11,9.84399999998277,0.47839786203601,-0.016566956147043697,1.1199951171875,0.0,0.25,0.0,FORWARD,True
46,10:37:12,10.047000000020489,0.4934201959316694,-0.014405634125390513,1.0099945068359375,0.0,0.25,0.0,FORWARD,True
47,10:37:12,10.25,0.4934201959316694,-0.014405634125390513,0.970001220703125,0.0,0.25,0.0,FORWARD,True
48,10:37:12,10.452999999979511,0.5011511075803111,-0.014409405985783354,0.8799896240234375,0.0,0.25,0.0,FORWARD,True
49,10:37:12,10.65700000000652,0.5197610014641929,-0.01095097702739076,0.8000030517578125,0.0,0.25,0.0,FORWARD,True
50,10:37:12,10.85999999998603,0.5477731619194662,-0.009949000276385338,0.769989013671875,0.0,0.25,0.0,FORWARD,True
51,10:37:13,11.077999999979511,0.5693883382684439,-0.007656939438133717,0.779998779296875,0.0,0.25,0.0,FORWARD,True
52,10:37:13,11.28200000000652,0.5917606507262553,-0.008990967069998537,0.6399993896484375,0.0,0.25,0.0,FORWARD,True
53,10:37:13,11.48499999998603,0.6161874806042821,-0.00585108134299142,0.709991455078125,0.0,0.25,0.0,FORWARD,True
54,10:37:13,11.688000000023749,0.6544738382042696,-0.008620064951916577,0.6299896240234375,0.0,0.25,0.0,FORWARD,True
55,10:37:13,11.89100000000326,0.6544738382042696,-0.008620064951916577,0.5800018310546875,0.0,0.25,0.0,FORWARD,True
56,10:37:14,12.09399999998277,0.661115011046169,-0.006862069392078024,0.6199951171875,0.0,0.25,0.0,FORWARD,True
57,10:37:14,12.297000000020489,0.676142220338453,-0.0003221216248917931,0.489990234375,0.0,0.25,0.0,FORWARD,True
58,10:37:14,12.5,0.6950809474734537,-0.00019911505067988342,0.3499908447265625,0.0,0.25,0.0,FORWARD,True
59,10:37:14,12.702999999979511,0.7064354018348983,0.0018355167706428472,0.399993896484375,0.0,0.25,0.0,FORWARD,True
60,10:37:14,12.90700000000652,0.7118063033557582,-0.0013954802011266374,0.19000244140625,0.0,0.25,0.0,FORWARD,True
61,10:37:15,13.10999999998603,0.724597048616636,-0.002205007455870354,0.0399932861328125,0.0,0.25,0.0,FORWARD,True
62,10:37:15,13.313000000023749,0.7322772255818618,0.0014991486392742731,0.05999755859375,0.0,0.25,0.0,FORWARD,True
63,10:37:15,13.51600000000326,0.7425420059653215,0.0047671114669153615,0.05999755859375,0.0,0.25,0.0,FORWARD,True
64,10:37:15,13.71899999998277,0.750674920332355,0.0022433652663281746,0.0800018310546875,0.0,0.25,0.0,FORWARD,True
65,10:37:15,13.922000000020489,0.750674920332355,0.0022433652663281746,-0.010009765625,0.0,0.25,0.0,FORWARD,True
66,10:37:16,14.14100000000326,0.7580923572506738,0.002158170345383791,0.0999908447265625,0.0,0.25,0.0,FORWARD,True
67,10:37:16,14.34399999998277,0.8002005164331686,0.001980445431201791,-0.0200042724609375,0.0,0.25,0.0,FORWARD,True
68,10:37:16,14.547000000020489,0.8002005164331686,0.001980445431201791,-0.1100006103515625,0.0,0.25,0.0,FORWARD,True
