Sample,Timestamp,Elapsed_s,X_m,Y_m,Heading_deg,Command_X,Command_Y,Command_Z,Motion,LocalizationValid
1,10:26:11,6.155999999959022,-0.00428969340736264,-0.01857274214613526,-0.1399993896484375,0.0,0.25,0.0,FORWARD,True
2,10:26:11,6.35899999999674,-0.00428969340736264,-0.01857274214613526,-0.40000152587890625,0.0,0.25,0.0,FORWARD,True
3,10:26:11,6.561999999976251,-0.00428969340736264,-0.01857274214613526,-0.3300018310546875,0.0,0.25,0.0,FORWARD,True
4,10:26:12,6.764999999955762,0.0037708291559471674,-0.019193956542605806,-0.25,0.0,0.25,0.0,FORWARD,True
5,10:26:12,6.9689999999827705,0.0037708291559471674,-0.019193956542605806,-0.089996337890625,0.0,0.25,0.0,FORWARD,True
6,10:26:12,7.171999999962281,0.0037708291559471674,-0.019193956542605806,-0.12999725341796875,0.0,0.25,0.0,FORWARD,True
7,10:26:12,7.375,0.007182316522883901,-0.025004300431497917,-0.06999969482421875,0.0,0.25,0.0,FORWARD,True
8,10:26:12,7.577999999979511,0.007182316522883901,-0.025004300431497917,-0.0800018310546875,0.0,0.25,0.0,FORWARD,True
9,10:26:13,7.780999999959022,0.01321009591318027,-0.026874612696927074,-0.12999725341796875,0.0,0.25,0.0,FORWARD,True
10,10:26:13,7.98399999999674,0.038245280394338665,-0.0261604374485279,-0.0500030517578125,0.0,0.25,0.0,FORWARD,True
11,10:26:13,8.186999999976251,0.0441236939915585,-0.023471439076997995,-0.23000335693359375,0.0,0.25,0.0,FORWARD,True
12,10:26:13,8.389999999955762,0.05118556378857817,-0.026744051233084525,-0.1399993896484375,0.0,0.25,0.0,FORWARD,True
13,10:26:13,8.59399999998277,0.05118556378857817,-0.026744051233084525,-0.06999969482421875,0.0,0.25,0.0,FORWARD,True
14,10:26:14,8.796999999962281,0.04857337661258369,-0.027621492403305394,-0.12999725341796875,0.0,0.25,0.0,FORWARD,True
15,10:26:14,9.0,0.04857337661258369,-0.027621492403305394,-0.05999755859375,0.0,0.25,0.0,FORWARD,True
16,10:26:14,9.21899999998277,0.04857337661258369,-0.027621492403305394,-0.12000274658203125,0.0,0.25,0.0,FORWARD,True
17,10:26:14,9.421999999962281,0.07171263573510728,-0.02778224592969048,-0.089996337890625,0.0,0.25,0.0,FORWARD,True
18,10:26:15,9.625,0.09202952825926869,-0.03225353157735002,-0.04000091552734375,0.0,0.25,0.0,FORWARD,True
19,10:26:15,9.827999999979511,0.09202952825926869,-0.03225353157735002,-0.06999969482421875,0.0,0.25,0.0,FORWARD,True
20,10:26:15,10.030999999959022,0.09202952825926869,-0.03225353157735002,-0.089996337890625,0.0,0.25,0.0,FORWARD,True
21,10:26:15,10.23399999999674,0.09894402921431422,-0.02908096932072827,-0.1100006103515625,0.0,0.25,0.0,FORWARD,True
22,10:26:15,10.436999999976251,0.09894402921431422,-0.02908096932072827,-0.1699981689453125,0.0,0.25,0.0,FORWARD,True
23,10:26:16,10.639999999955762,0.1228247292202722,-0.026251142831476764,-0.1999969482421875,0.0,0.25,0.0,FORWARD,True
24,10:26:16,10.84399999998277,0.13893806575890155,-0.022835059952562964,-0.3300018310546875,0.0,0.25,0.0,FORWARD,True
25,10:26:16,11.046999999962281,0.13893806575890155,-0.022835059952562964,-0.3899993896484375,0.0,0.25,0.0,FORWARD,True
26,10:26:16,11.25,0.13893806575890155,-0.022835059952562964,-0.40999603271484375,0.0,0.25,0.0,FORWARD,True
27,10:26:16,11.452999999979511,0.1696265478161487,-0.02838291331731711,-0.44000244140625,0.0,0.25,0.0,FORWARD,True
28,10:26:17,11.655999999959022,0.19100212276823714,-0.02733098254237036,-0.48999786376953125,0.0,0.25,0.0,FORWARD,True
29,10:26:17,11.85899999999674,0.1974784733231789,-0.02654535906419358,-0.55999755859375,0.0,0.25,0.0,FORWARD,True
30,10:26:17,12.061999999976251,0.21980520973762316,-0.029230656880361895,-0.6399993896484375,0.0,0.25,0.0,FORWARD,True
31,10:26:17,12.264999999955762,0.2353722000310993,-0.031165633142969704,-0.69000244140625,0.0,0.25,0.0,FORWARD,True
32,10:26:17,12.46899999998277,0.24755846182174546,-0.03128861243229249,-0.7399978637695312,0.0,0.25,0.0,FORWARD,True
33,10:26:18,12.671999999962281,0.2555068953639672,-0.03273513484720277,-0.8499984741210938,0.0,0.25,0.0,FORWARD,True
34,10:26:18,12.875,0.2555068953639672,-0.03273513484720277,-0.8799972534179688,0.0,0.25,0.0,FORWARD,True
35,10:26:18,13.077999999979511,0.2677000424796356,-0.032199446127770114,-0.9499969482421875,0.0,0.25,0.0,FORWARD,True
36,10:26:18,13.280999999959022,0.2743810421226373,-0.03376756587201273,-0.9899978637695312,0.0,0.25,0.0,FORWARD,True
37,10:26:18,13.48399999999674,0.2743810421226373,-0.03376756587201273,-0.970001220703125,0.0,0.25,0.0,FORWARD,True
38,10:26:19,13.702999999979511,0.30700220621544977,-0.03708223606715798,-1.0800018310546875,0.0,0.25,0.0,FORWARD,True
39,10:26:19,13.905999999959022,0.31896522331580285,-0.03711817846052132,-0.9499969482421875,0.0,0.25,0.0,FORWARD,True
40,10:26:19,14.10899999999674,0.33137450449205863,-0.04046559149887671,-1.0100021362304688,0.0,0.25,0.0,FORWARD,True
41,10:26:19,14.311999999976251,0.3585045054494659,-0.043639215349784585,-1.1699981689453125,0.0,0.25,0.0,FORWARD,True
42,10:26:19,14.514999999955762,0.3585045054494659,-0.043639215349784585,-1.1999969482421875,0.0,0.25,0.0,FORWARD,True
43,10:26:20,14.71899999998277,0.3790254052429506,-0.04019529327314483,-1.30999755859375,0.0,0.25,0.0,FORWARD,True
44,10:26:20,14.921999999962281,0.3790254052429506,-0.04019529327314483,-1.3300018310546875,0.0,0.25,0.0,FORWARD,True
45,10:26:20,15.125,0.4041096898765472,-0.03939944114706864,-1.5400009155273438,0.0,0.25,0.0,FORWARD,True
46,10:26:20,15.327999999979511,0.37403613459917867,-0.03530844232464255,-1.470001220703125,0.0,0.25,0.0,FORWARD,True
47,10:26:20,15.530999999959022,0.36499561177783996,-0.034330693382554366,-1.5999984741210938,0.0,0.25,0.0,FORWARD,True
48,10:26:21,15.73399999999674,0.36499561177783996,-0.034330693382554366,-1.6699981689453125,0.0,0.25,0.0,FORWARD,True
49,10:26:21,15.936999999976251,0.38152277814110114,-0.033332177887965664,-1.7900009155273438,0.0,0.25,0.0,FORWARD,True
50,10:26:21,16.139999999955762,0.3886384452658588,-0.03482956669906559,-1.8799972534179688,0.0,0.25,0.0,FORWARD,True
51,10:26:21,16.34399999998277,0.3886384452658588,-0.03482956669906559,-2.0199966430664062,0.0,0.25,0.0,FORWARD,True
52,10:26:21,16.54699999996228,0.3886384452658588,-0.03482956669906559,-2.1999969482421875,0.0,0.25,0.0,FORWARD,True
53,10:26:22,16.75,0.4010977371716299,-0.0354480008934713,-2.2600021362304688,0.0,0.25,0.0,FORWARD,True
54,10:26:22,16.95299999997951,0.40871870302033564,-0.03475971716170299,-2.4300003051757812,0.0,0.25,0.0,FORWARD,True
55,10:26:22,17.155999999959022,0.40871870302033564,-0.03475971716170299,-2.5199966430664062,0.0,0.25,0.0,FORWARD,True
56,10:26:22,17.35899999999674,0.4279683758984209,-0.029096701167825624,-2.6200027465820312,0.0,0.25,0.0,FORWARD,True
57,10:26:22,17.56199999997625,0.43599085435304835,-0.029437221602700826,-2.7300033569335938,0.0,0.25,0.0,FORWARD,True
58,10:26:23,17.764999999955762,0.4520746878803232,-0.027305279317717653,-2.8300018310546875,0.0,0.25,0.0,FORWARD,True
59,10:26:23,17.98399999999674,0.4520746878803232,-0.027305279317717653,-2.9099960327148438,0.0,0.25,0.0,FORWARD,True
60,10:26:23,18.18699999997625,0.46022395698671786,-0.027794074842969967,-2.970001220703125,0.0,0.25,0.0,FORWARD,True
61,10:26:23,18.389999999955762,0.4705088490254979,-0.030217916866837037,-3.0100021362304688,0.0,0.25,0.0,FORWARD,True
62,10:26:23,18.59399999998277,0.4814233050582075,-0.030022485717796324,-3.1299972534179688,0.0,0.25,0.0,FORWARD,True
63,10:26:24,18.79699999996228,0.48269579506282917,-0.027905735274611283,-3.1800003051757812,0.0,0.25,0.0,FORWARD,True
64,10:26:24,19.0,0.4969879279212745,-0.03170993359841852,-3.2600021362304688,0.0,0.25,0.0,FORWARD,True
65,10:26:24,19.20299999997951,0.4969879279212745,-0.03170993359841852,-3.3899993896484375,0.0,0.25,0.0,FORWARD,True
66,10:26:24,19.405999999959022,0.4969879279212745,-0.03170993359841852,-3.470001220703125,0.0,0.25,0.0,FORWARD,True
67,10:26:24,19.60899999999674,0.5027846576800616,-0.035624063392915066,-3.55999755859375,0.0,0.25,0.0,FORWARD,True
68,10:26:25,19.81199999997625,0.5092576333203979,-0.03489023031881762,-3.6800003051757812,0.0,0.25,0.0,FORWARD,True
69,10:26:25,20.014999999955762,0.5232157970280894,-0.03557926888079516,-3.7900009155273438,0.0,0.25,0.0,FORWARD,True
70,10:26:25,20.21899999998277,0.5295764936574597,-0.03338600160705621,-3.779998779296875,0.0,0.25,0.0,FORWARD,True
71,10:26:25,20.42199999996228,0.5295764936574597,-0.03338600160705621,-3.80999755859375,0.0,0.25,0.0,FORWARD,True
72,10:26:26,20.625,0.5579436186857052,-0.030677923603471238,-3.9099960327148438,0.0,0.25,0.0,FORWARD,True
73,10:26:26,20.82799999997951,0.5579436186857052,-0.030677923603471238,-4.019996643066406,0.0,0.25,0.0,FORWARD,True
74,10:26:26,21.030999999959022,0.5579436186857052,-0.030677923603471238,-4.150001525878906,0.0,0.25,0.0,FORWARD,True
75,10:26:26,21.23399999999674,0.5579436186857052,-0.030677923603471238,-4.180000305175781,0.0,0.25,0.0,FORWARD,True
