Sample,Elapsed_s,X_m,Y_m,Heading_deg,Command_X,Command_Y,Command_Z,LidarLocalizationValid
1,967.1410000000033,0.0,-0.0,0.0,0.0,0.0,0.0,True
2,967.25,0.0,-0.0,0.010000228881835938,0.0,0.0,0.0,True
3,967.3589999999967,0.0,-0.0,0.010000228881835938,0.0,0.0,0.0,True
4,967.4689999999828,0.0,-0.0,0.010000228881835938,0.0,0.0,0.0,True
5,967.5779999999795,0.0,-0.0,0.0,0.0,0.0,0.0,True
6,967.6869999999763,0.0,-0.0,0.0,0.0,0.0,0.0,True
7,967.7970000000205,0.0,-0.0,0.0,0.0,0.0,0.0,True
8,967.9060000000172,0.0,-0.0,0.0,0.0,0.0,0.0,True
9,968.0160000000033,0.0,-0.0,0.0,0.0,0.0,0.0,True
10,968.1410000000033,0.0,-0.0,0.0,0.0,0.0,0.0,True
11,968.4060000000172,0.0,-0.0,0.0,0.0,0.0,0.0,True
12,968.5310000000172,0.0,-0.0,0.0,0.0,0.0,0.0,True
13,968.6410000000033,0.0,-0.0,-0.010000228881835938,0.0,0.25,0.0,True
14,968.7339999999967,0.0050414793462680504,-0.0006794482454901246,-0.3099994659423828,0.0,0.25,0.0,True
15,968.8439999999828,0.014280674054846412,-0.0006582555637818358,-0.6499996185302734,0.0,0.25,0.0,True
16,968.9689999999828,0.023498037074208954,-0.0007526073562665037,-0.6000003814697266,0.0,0.25,0.0,True
17,969.0779999999795,0.031887465040829246,-0.000903075152739153,-0.5900001525878906,0.0,0.25,0.0,True
18,969.1720000000205,0.03858690545101472,-0.0008372504102266696,-0.5100002288818359,0.0,0.25,0.0,True
19,969.2970000000205,0.04409325910666017,-0.0006664957300645796,-0.4400005340576172,0.0,0.25,0.0,True
20,969.4060000000172,0.055493650115094044,-0.0007888873062609518,-0.4099998474121094,0.0,0.25,0.0,True
21,969.5160000000033,0.0666539376747093,-0.0009304425782345831,-0.31999969482421875,0.0,0.25,0.0,True
22,969.625,0.07817365704960813,-0.0010093510887021573,-0.26000022888183594,0.0,0.25,0.0,True
23,969.7339999999967,0.09125270528922451,-0.0010112671367083145,-0.3099994659423828,0.0,0.25,0.0,True
24,969.8439999999828,0.1139307799505172,-0.0014724874839266585,0.10000038146972656,0.0,0.25,0.0,True
25,969.9529999999795,0.12436907877506811,-0.0018470914526350986,0.15999984741210938,0.0,0.25,0.0,True
26,970.0619999999763,0.1375677399239086,-0.002018378097301948,0.1399993896484375,0.0,0.25,0.0,True
27,970.1560000000172,0.14896561976026823,-0.00240708570343645,0.26000022888183594,0.0,0.25,0.0,True
28,970.2660000000033,0.16072300704794756,-0.002745278103654418,0.31999969482421875,0.0,0.25,0.0,True
29,970.375,0.1723617395637472,-0.0028681355685565664,0.26000022888183594,0.0,0.25,0.0,True
30,970.4839999999967,0.1837588209046457,-0.003274609372430871,0.35000038146972656,0.0,0.25,0.0,True
31,970.5939999999828,0.19527586818087264,-0.0036304019139742328,0.4699993133544922,0.0,0.25,0.0,True
32,970.7029999999795,0.20691312998942538,-0.003923346682067345,0.3899993896484375,0.0,0.25,0.0,True
33,970.8279999999795,0.2316298075262646,-0.004227278428662309,0.4400005340576172,0.0,0.25,0.0,True
34,970.9220000000205,0.24338753229234078,-0.004452214877887575,0.37999916076660156,0.0,0.25,0.0,True
35,971.0310000000172,0.25778625237895875,-0.004537314037972501,0.3600006103515625,0.0,0.25,0.0,True
36,971.1410000000033,0.2694227814956244,-0.004961209124723053,0.43000030517578125,0.0,0.25,0.0,True
37,971.25,0.28118053675596105,-0.0051887219047060985,0.43000030517578125,0.0,0.25,0.0,True
38,971.3589999999967,0.2924584102506497,-0.0054104864273606095,0.4400005340576172,0.0,0.25,0.0,True
39,971.4529999999795,0.3042161647875449,-0.005638889302162385,0.4500007629394531,0.0,0.25,0.0,True
40,971.5619999999763,0.3162113628868427,-0.006156462457722535,0.5200004577636719,0.0,0.25,0.0,True
41,971.6720000000205,0.32772869492965684,-0.006403385794897508,0.6000003814697266,0.0,0.25,0.0,True
42,971.7810000000172,0.3392444299608723,-0.006798310162991792,0.5799999237060547,0.0,0.25,0.0,True
43,971.875,0.3511191535304858,-0.007271824896396189,0.6499996185302734,0.0,0.25,0.0,True
44,972.0,0.36275674120064244,-0.007474665330714044,0.6599998474121094,0.0,0.25,0.0,True
45,972.1089999999967,0.3757096124385089,-0.00805117087490644,0.7399997711181641,0.0,0.25,0.0,True
46,972.2189999999828,0.38745917563932764,-0.008774135469606759,0.8700008392333984,0.0,0.25,0.0,True
47,972.3279999999795,0.41084354089399894,-0.009784733985575503,1.0300006866455078,0.0,0.25,0.0,True
48,972.4369999999763,0.42235275922218884,-0.010416811142985923,1.1200008392333984,0.0,0.25,0.0,True
49,972.5310000000172,0.43398221956274546,-0.010996464488681494,1.1900005340576172,0.0,0.25,0.0,True
50,972.6560000000172,0.4446634649649908,-0.011015113751419042,1.2099990844726562,0.0,0.25,0.0,True
51,972.7660000000033,0.45701278127322176,-0.011616800066300684,1.1800003051757812,0.0,0.25,0.0,True
52,972.8589999999967,0.4688850469123892,-0.012071721000743836,1.1700000762939453,0.0,0.25,0.0,True
53,972.9689999999828,0.48028047608524316,-0.012371837348382826,1.1399993896484375,0.0,0.25,0.0,True
54,973.0779999999795,0.4919158431347192,-0.0126766026232734,1.1499996185302734,0.0,0.25,0.0,True
55,973.1869999999763,0.5052275440214447,-0.013162900610678558,1.239999771118164,0.0,0.25,0.0,True
56,973.2970000000205,0.516498478035369,-0.013675439311403446,1.1800003051757812,0.0,0.25,0.0,True
57,973.4060000000172,0.5281306608923783,-0.01412886078943913,1.2299995422363281,0.0,0.25,0.0,True
58,973.5160000000033,0.5401240385673528,-0.014525111891043649,1.1900005340576172,0.0,0.25,0.0,True
59,973.625,0.5602727815854047,-0.015220042832929184,1.1800003051757812,0.0,0.25,0.0,True
60,973.7339999999967,0.5740732330114464,-0.015301998467148548,1.239999771118164,0.0,0.25,0.0,True
61,973.8279999999795,0.5858178255205466,-0.01610704261826199,1.239999771118164,0.0,0.25,0.0,True
62,973.9369999999763,0.5979386027716501,-0.01615984671596266,1.2199993133544922,0.0,0.25,0.0,True
63,974.0470000000205,0.6102877547520649,-0.016760387993599142,1.1499996185302734,0.0,0.25,0.0,True
64,974.1560000000172,0.6225245586356173,-0.016995304675334635,1.1399993896484375,0.0,0.25,0.0,True
65,974.25,0.6353569685977939,-0.01745902627279629,1.1599998474121094,0.0,0.25,0.0,True
66,974.3589999999967,0.6472295678338151,-0.017904433594122384,1.1499996185302734,0.0,0.25,0.0,True
67,974.4689999999828,0.6581453493843638,-0.018190805411838092,1.1000003814697266,0.0,0.25,0.0,True
68,974.5779999999795,0.6709803758981706,-0.01851570428388748,1.1499996185302734,0.0,0.25,0.0,True
69,974.6869999999763,0.6827344041665647,-0.018888235987382034,1.1100006103515625,0.0,0.25,0.0,True
70,974.7970000000205,0.694728936169685,-0.019254975431615882,1.0699996948242188,0.0,0.25,0.0,True
71,974.9060000000172,0.7062487135511513,-0.019321845895631896,1.010000228881836,0.0,0.25,0.0,True
72,975.0160000000033,0.7177660638455811,-0.019526757024396456,0.9899997711181641,0.0,0.25,0.0,True
73,975.125,0.7403209719202151,-0.01991099731247735,0.9599990844726562,0.0,0.25,0.0,True
74,975.2339999999967,0.7527934562811252,-0.020412055893798086,1.0900001525878906,0.0,0.25,0.0,True
75,975.3439999999828,0.7629870817709424,-0.020816407180202324,1.1399993896484375,0.0,0.25,0.0,True
76,975.4529999999795,0.7746165057974119,-0.02139762025549041,1.0900001525878906,0.0,0.25,0.0,True
77,975.5619999999763,0.7746165057974119,-0.02139762025549041,1.0900001525878906,0.0,0.25,0.0,True
78,975.6720000000205,0.7997925627569258,-0.02273763799792539,1.239999771118164,0.0,0.25,0.0,True
79,975.7810000000172,0.8116644459215218,-0.023201777982314542,1.2299995422363281,0.0,0.25,0.0,True
80,975.8910000000033,0.8235395345648469,-0.023514015478752617,1.1399993896484375,0.0,0.25,0.0,True
81,976.0,0.8350502555911153,-0.02403514843484018,1.25,0.0,0.25,0.0,True
82,976.125,0.8470432768958287,-0.02444266154166985,1.3199996948242188,0.0,0.25,0.0,True
83,976.2339999999967,0.8592728750015607,-0.024997893170802154,1.2299995422363281,0.0,0.25,0.0,True
84,976.3279999999795,0.8844431160604236,-0.02643873710033088,1.5200004577636719,0.0,0.25,0.0,True
85,976.4369999999763,0.8844431160604236,-0.02643873710033088,1.5200004577636719,0.0,0.25,0.0,True
86,976.5470000000205,0.9085391763189009,-0.027581876279922878,1.5699996948242188,0.0,0.25,0.0,True
87,976.6560000000172,0.9193420633874198,-0.02759952954327238,1.5900001525878906,0.0,0.25,0.0,True
88,976.7660000000033,0.9319231843810694,-0.028425689166004877,1.5300006866455078,0.0,0.25,0.0,True
89,976.8589999999967,0.9434421403055466,-0.028583034242253415,1.4400005340576172,0.0,0.25,0.0,True
90,976.9689999999828,0.9549539944726877,-0.02901648510108788,1.4699993133544922,0.0,0.25,0.0,True
91,977.0779999999795,0.9670634702582087,-0.029542166096498162,1.4799995422363281,0.0,0.25,0.0,True
92,977.1869999999763,0.9788190317085901,-0.02984484246023461,1.4300003051757812,0.0,0.25,0.0,True
93,977.2970000000205,0.9906925700466446,-0.0302131319894303,1.4599990844726562,0.0,0.25,0.0,True
94,977.4060000000172,1.0022007330298295,-0.030787580828881448,1.4699993133544922,0.0,0.25,0.0,True
