Sample,Timestamp,Elapsed_s,X_m,Y_m,Heading_deg,Command_X,Command_Y,Command_Z,Motion,LocalizationValid
1,09:49:31,2.0939999999827705,0.0,-0.0,-0.009998321533203125,0.0,0.25,0.0,FORWARD,True
2,09:49:31,2.2969999999622814,0.0,-0.0,-0.03999900817871094,0.0,0.25,0.0,FORWARD,True
3,09:49:31,2.48499999998603,0.0,-0.0,-0.11999893188476562,0.0,0.25,0.0,FORWARD,True
4,09:49:31,2.687999999965541,0.028481188775865113,-0.006561067586283529,-0.20999908447265625,0.0,0.25,0.0,FORWARD,True
5,09:49:31,2.8910000000032596,0.040038463091099694,0.00027489351986266595,-0.22999954223632812,0.0,0.25,0.0,FORWARD,True
6,09:49:32,3.0939999999827705,0.05831750587413763,0.005724723849162081,-0.22999954223632812,0.0,0.25,0.0,FORWARD,True
7,09:49:32,3.2969999999622814,0.08143943051506954,-0.002591633005092648,-0.18999862670898438,0.0,0.25,0.0,FORWARD,True
8,09:49:32,3.5,0.10543987063706049,0.0008864250353278237,-0.17999839782714844,0.0,0.25,0.0,FORWARD,True
9,09:49:32,3.702999999979511,0.15223630772137167,0.011426587884029098,-0.1700000762939453,0.0,0.25,0.0,FORWARD,True
10,09:49:32,3.905999999959022,0.16590587952785135,0.02138885664475836,-0.11999893188476562,0.0,0.25,0.0,FORWARD,True
11,09:49:33,4.0939999999827705,0.19063464252933207,0.021277032374750843,-0.09999847412109375,0.0,0.25,0.0,FORWARD,True
12,09:49:33,4.296999999962281,0.23479376750467706,0.01782254586648262,0.030000686645507812,0.0,0.25,0.0,FORWARD,True
13,09:49:33,4.5,0.24056334539643895,0.009685841056946438,0.1100006103515625,0.0,0.25,0.0,FORWARD,True
14,09:49:33,4.702999999979511,0.2559980667529233,0.007795947294358601,0.04000091552734375,0.0,0.25,0.0,FORWARD,True
15,09:49:33,4.905999999959022,0.28444206274367123,-0.002377027062631716,-0.09999847412109375,0.0,0.25,0.0,FORWARD,True
16,09:49:34,5.10999999998603,0.31238311569157634,0.00582896428587816,0.030000686645507812,0.0,0.25,0.0,FORWARD,True
17,09:49:34,5.312999999965541,0.3284131195200207,-0.006038962553978754,0.010000228881835938,0.0,0.25,0.0,FORWARD,True
18,09:49:34,5.51600000000326,0.35987370878130437,-4.589646837924177e-05,-0.09999847412109375,0.0,0.25,0.0,FORWARD,True
19,09:49:34,5.702999999979511,0.3715797919313026,0.0002980795741210837,-0.11999893188476562,0.0,0.25,0.0,FORWARD,True
20,09:49:34,5.905999999959022,0.4011901785076444,0.001536239954624652,-0.1700000762939453,0.0,0.25,0.0,FORWARD,True
21,09:49:35,6.10999999998603,0.43450410529362654,0.005993653690766147,-0.1999988555908203,0.0,0.25,0.0,FORWARD,True
22,09:49:35,6.312999999965541,0.44424507996841545,0.012116457417507324,-0.17999839782714844,0.0,0.25,0.0,FORWARD,True
23,09:49:35,6.51600000000326,0.4602615550893327,0.010716530444876637,-0.26999855041503906,0.0,0.25,0.0,FORWARD,True
24,09:49:35,6.7189999999827705,0.49116995977110006,0.009544624067158294,-0.05999946594238281,0.0,0.25,0.0,FORWARD,True
25,09:49:35,6.921999999962281,0.5211799010300759,0.005803221308036774,-0.09999847412109375,0.0,0.25,0.0,FORWARD,True
26,09:49:36,7.125,0.5383648060769681,0.01085603997426482,-0.049999237060546875,0.0,0.25,0.0,FORWARD,True
27,09:49:36,7.327999999979511,0.5792378689804523,0.012491163886854374,0.030000686645507812,0.0,0.25,0.0,FORWARD,True
28,09:49:36,7.51600000000326,0.5866314710340105,0.01265402751340336,-0.07999992370605469,0.0,0.25,0.0,FORWARD,True
29,09:49:36,7.7189999999827705,0.6235498639886069,0.011629223781976838,-0.23999977111816406,0.0,0.25,0.0,FORWARD,True
30,09:49:36,7.921999999962281,0.636365061477106,0.006883629238696357,-0.26999855041503906,0.0,0.25,0.0,FORWARD,True
31,09:49:37,8.125,0.6742885404846582,0.014812998154659252,-0.4699993133544922,0.0,0.25,0.0,FORWARD,True
32,09:49:37,8.327999999979511,0.6821948286824294,0.007373766367727616,-0.5699996948242188,0.0,0.25,0.0,FORWARD,True
33,09:49:37,8.530999999959022,0.6926286018713879,0.010925011986751193,-0.5799999237060547,0.0,0.25,0.0,FORWARD,True
34,09:49:37,8.73499999998603,0.718495673141746,0.014307725982475372,-0.6999988555908203,0.0,0.25,0.0,FORWARD,True
35,09:49:37,8.937999999965541,0.7281779913610583,0.013709900684470158,-0.8099994659423828,0.0,0.25,0.0,FORWARD,True
36,09:49:38,9.125,0.7551596688051779,0.015084974003042387,-0.9200000762939453,0.0,0.25,0.0,FORWARD,True
37,09:49:38,9.327999999979511,0.7645938310996535,0.021289183254044705,-1.0099983215332031,0.0,0.25,0.0,FORWARD,True
38,09:49:38,9.530999999959022,0.785432717059488,0.022582627551377396,-0.9200000762939453,0.0,0.25,0.0,FORWARD,True
39,09:49:38,9.73499999998603,0.7988715102072864,0.022371118502014273,-1.1099987030029297,0.0,0.25,0.0,FORWARD,True
40,09:49:38,9.937999999965541,0.8228044885099272,0.007764555241833532,-1.3999996185302734,0.0,0.25,0.0,FORWARD,True
41,09:49:39,10.14100000000326,0.8376465139761016,0.0071196880550139785,-1.4399986267089844,0.0,0.25,0.0,FORWARD,True
42,09:49:39,10.34399999998277,0.8432309377621622,0.003073011563186151,-1.3999996185302734,0.0,0.25,0.0,FORWARD,True
43,09:49:39,10.546999999962281,0.8613128847527488,0.0035144286393151286,-1.2599983215332031,0.0,0.25,0.0,FORWARD,True
44,09:49:39,10.75,0.8613128847527488,0.0035144286393151286,-1.3400001525878906,0.0,0.25,0.0,FORWARD,True
45,09:49:39,10.952999999979511,0.905694876134297,-0.005258192526149355,-1.539999008178711,0.0,0.25,0.0,FORWARD,True
46,09:49:40,11.155999999959022,0.9226742947492699,-0.0044792533326905165,-1.6099987030029297,0.0,0.25,0.0,FORWARD,True
47,09:49:40,11.34399999998277,0.9337699608043994,-0.00419333381666874,-1.5999984741210938,0.0,0.25,0.0,FORWARD,True
48,09:49:40,11.546999999962281,0.9446182993396426,0.0004079528751245731,-1.5599994659423828,0.0,0.25,0.0,FORWARD,True
49,09:49:40,11.75,0.9976261483113745,0.008381280579726424,-1.6599998474121094,0.0,0.25,0.0,FORWARD,True
50,09:49:40,11.952999999979511,1.0083593704797547,0.007518326007302623,-1.6799983978271484,0.0,0.25,0.0,FORWARD,True
51,09:49:41,12.155999999959022,1.0284745241634126,0.007499166331471602,-1.7199993133544922,0.0,0.25,0.0,FORWARD,True
52,09:49:41,12.35999999998603,1.039835012313233,0.005289945484940495,-1.6599998474121094,0.0,0.25,0.0,FORWARD,True
53,09:49:41,12.562999999965541,1.0691560244796916,0.0014569891133737467,-1.8599987030029297,0.0,0.25,0.0,FORWARD,True
54,09:49:41,12.76600000000326,1.0948011594220768,0.016727037230160488,-2.039999008178711,0.0,0.25,0.0,FORWARD,True
55,09:49:41,12.952999999979511,1.1128208713148073,0.01712667635005144,-2.1599998474121094,0.0,0.25,0.0,FORWARD,True
56,09:49:42,13.155999999959022,1.1361107936190862,0.0127170880608512,-2.4099998474121094,0.0,0.25,0.0,FORWARD,True
57,09:49:42,13.35999999998603,1.1481931356622528,0.019985654236437916,-2.3899993896484375,0.0,0.25,0.0,FORWARD,True
58,09:49:42,13.562999999965541,1.1915374636056122,0.016300394876815144,-2.529998779296875,0.0,0.25,0.0,FORWARD,True
