Sample,Elapsed_s,X_m,Y_m,Heading_deg,Command_X,Command_Y,Command_Z,LidarLocalizationValid
1,0.17099999997299165,0.0,-0.0,0.0,0.0,0.0,0.0,True
2,0.28100000001722947,0.0,-0.0,0.0,0.0,0.0,0.0,True
3,0.40600000001722947,0.0,-0.0,0.0,0.0,0.0,0.0,True
4,0.5619999999762513,0.0,-0.0,0.0,0.0,0.25,0.0,True
5,0.7029999999795109,0.0,-0.0,-0.0099945068359375,0.0,0.25,0.0,True
6,0.8429999999934807,0.014398285062295763,-0.00021261640575398705,0.4300079345703125,0.0,0.25,0.0,True
7,1.0150000000139698,0.022455832458874687,5.0675903414627285e-05,0.5500030517578125,0.0,0.25,0.0,True
8,1.125,0.03408562299520832,-0.0009657453184194851,0.6399993896484375,0.0,0.25,0.0,True
9,1.2339999999967404,0.04469846172218127,-0.0007907560666558033,0.600006103515625,0.0,0.25,0.0,True
10,1.3900000000139698,0.05744788979188054,0.00027429448055936673,0.3800048828125,0.0,0.25,0.0,True
11,1.5459999999729916,0.08108684197152666,0.0005196818002372399,0.07000732421875,0.0,0.25,0.0,True
12,1.6400000000139698,0.09272569309528184,0.00029587123916716856,0.089996337890625,0.0,0.25,0.0,True
13,1.7810000000172295,0.10388385297669064,-0.00021158021264064007,0.1500091552734375,0.0,0.25,0.0,True
14,1.8900000000139698,0.11528196670448682,-0.0005923308041588016,0.19000244140625,0.0,0.25,0.0,True
15,2.01500000001397,0.12572037826891735,-0.000831396821168652,0.1999969482421875,0.0,0.25,0.0,True
16,2.125,0.13843748911816223,-0.0013031605300082463,0.32000732421875,0.0,0.25,0.0,True
17,2.2339999999967404,0.16147067651795108,-0.0022681784998529646,0.339996337890625,0.0,0.25,0.0,True
18,2.3429999999934807,0.17178751372655446,-0.0026168063196262146,0.5200042724609375,0.0,0.25,0.0,True
19,2.4839999999967404,0.18437966956382573,-0.003368308383216285,0.600006103515625,0.0,0.25,0.0,True
20,2.6089999999967404,0.1967374355558553,-0.0035577263983263135,0.510009765625,0.0,0.25,0.0,True
21,2.7179999999934807,0.208018140214897,-0.003361597864079219,0.3800048828125,0.0,0.25,0.0,True
22,2.827999999979511,0.22985595524301203,-0.0034883728697189835,0.230010986328125,0.0,0.25,0.0,True
23,2.9369999999762513,0.24101384634966885,-0.003873698556125263,0.160003662109375,0.0,0.25,0.0,True
24,3.077999999979511,0.25277208762840203,-0.0041842615505554995,0.230010986328125,0.0,0.25,0.0,True
25,3.202999999979511,0.2642892057543513,-0.004653857214865775,0.2700042724609375,0.0,0.25,0.0,True
26,3.327999999979511,0.27532601967882886,-0.005127116747985919,0.32000732421875,0.0,0.25,0.0,True
27,3.452999999979511,0.297278638761773,-0.006031993836940031,0.4600067138671875,0.0,0.25,0.0,True
28,3.5619999999762513,0.3089179955373687,-0.006055462733330008,0.470001220703125,0.0,0.25,0.0,True
29,3.6869999999762513,0.3221095111845667,-0.006999480512875139,0.4900054931640625,0.0,0.25,0.0,True
30,3.8119999999762513,0.33386430119121785,-0.007523081867463273,0.529998779296875,0.0,0.25,0.0,True
31,3.9369999999762513,0.35558099975046614,-0.007808647219122049,0.55999755859375,0.0,0.25,0.0,True
32,4.10899999999674,0.367697523915867,-0.008120969233564994,0.4199981689453125,0.0,0.25,0.0,True
33,4.202999999979511,0.3787371934720611,-0.008047746653569804,0.2700042724609375,0.0,0.25,0.0,True
34,4.327999999979511,0.38941666250586504,-0.00801574851879774,0.160003662109375,0.0,0.25,0.0,True
35,4.436999999976251,0.41245299012417713,-0.0086454491096488,0.1999969482421875,0.0,0.25,0.0,True
36,4.592999999993481,0.4234905234870841,-0.00910253353156724,0.230010986328125,0.0,0.25,0.0,True
37,4.717999999993481,0.4346480087795534,-0.00950005703407743,0.2700042724609375,0.0,0.25,0.0,True
38,4.85899999999674,0.458524115238964,-0.009988638108858396,0.4000091552734375,0.0,0.25,0.0,True
39,4.967999999993481,0.4706363612613368,-0.010979509062866072,0.44000244140625,0.0,0.25,0.0,True
40,5.092999999993481,0.48215143990455395,-0.011493824816981236,0.529998779296875,0.0,0.25,0.0,True
41,5.202999999979511,0.49354959119601494,-0.011660910935300754,0.480010986328125,0.0,0.25,0.0,True
42,5.327999999979511,0.504588361869051,-0.011755643713145638,0.470001220703125,0.0,0.25,0.0,True
43,5.48399999999674,0.5276243467621948,-0.01218668369346073,0.339996337890625,0.0,0.25,0.0,True
44,5.592999999993481,0.5390219396681725,-0.012465484341066731,0.410003662109375,0.0,0.25,0.0,True
45,5.702999999979511,0.5499370081183919,-0.013036398654197133,0.480010986328125,0.0,0.25,0.0,True
46,5.842999999993481,0.5742873685393157,-0.014016174246745427,0.5800018310546875,0.0,0.25,0.0,True
47,5.98399999999674,0.5852028655175313,-0.014466616791128565,0.470001220703125,0.0,0.25,0.0,True
48,6.125,0.5946843811976779,-0.014193266991634946,0.3899993896484375,0.0,0.25,0.0,True
49,6.23399999999674,0.6053628367837368,-0.014327379383786105,0.339996337890625,0.0,0.25,0.0,True
50,6.327999999979511,0.6163948952676224,-0.015379569275182912,0.4900054931640625,0.0,0.25,0.0,True
51,6.436999999976251,0.6269492551768806,-0.015904600508173203,0.660003662109375,0.0,0.25,0.0,True
52,6.561999999976251,0.6269492551768806,-0.015904600508173203,0.660003662109375,0.0,0.25,0.0,True
53,6.686999999976251,0.6598145909720383,-0.017127021399422144,0.7100067138671875,0.0,0.25,0.0,True
54,6.795999999972992,0.6721683264818494,-0.017629176638148444,0.6800079345703125,0.0,0.25,0.0,True
55,6.9060000000172295,0.6829698642831417,-0.01746688886913366,0.529998779296875,0.0,0.25,0.0,True
56,7.01500000001397,0.695570859338387,-0.0172104277161103,0.2700042724609375,0.0,0.25,0.0,True
57,7.125,0.7064902798288386,-0.01718868053623434,0.230010986328125,0.0,0.25,0.0,True
58,7.23399999999674,0.7177693936097161,-0.017221686641421773,0.1100006103515625,0.0,0.25,0.0,True
59,7.342999999993481,0.7402076717464762,-0.017446388178048552,0.0500030517578125,0.0,0.25,0.0,True
60,7.452999999979511,0.7517261562428986,-0.018016228321816225,0.07000732421875,0.0,0.25,0.0,True
61,7.577999999979511,0.7627652056434253,-0.01816708629512426,0.07000732421875,0.0,0.25,0.0,True
62,7.702999999979511,0.7730843030906218,-0.01831523323388873,0.040008544921875,0.0,0.25,0.0,True
63,7.811999999976251,0.7858027430341066,-0.01874699045858276,0.1300048828125,0.0,0.25,0.0,True
64,7.920999999972992,0.7972015453195955,-0.01897755541492785,0.100006103515625,0.0,0.25,0.0,True
65,8.03100000001723,0.8084802478210538,-0.01927378434444339,0.100006103515625,0.0,0.25,0.0,True
66,8.15600000001723,0.8329571140397867,-0.01987460775917694,0.160003662109375,0.0,0.25,0.0,True
67,8.26500000001397,0.8442359227198241,-0.020041905352996575,0.1699981689453125,0.0,0.25,0.0,True
