Sample,Timestamp,Elapsed_s,X_m,Y_m,Heading_deg,Command_X,Command_Y,Command_Z,TranslationAccepted,TranslationMagnitude_m,HeadingDelta_deg
1,09:32:09,0.1559999999590218,0.027101442806142403,-0.0030958061964733528,0.6300010681152344,0.0,0.0,0.0,True,0.02727768718533026,0.6300010681152344
2,09:32:09,0.35899999999674037,0.028302586973511963,-0.002968357359499486,0.43000030517578125,0.0,0.0,0.0,True,0.0012078867980286493,-0.20000076293945312
3,09:32:11,2.202999999979511,0.04677742726615072,-0.0034357306692792953,0.6499996185302734,0.0,0.0,0.0,True,0.01848075111160807,0.11999893188476562
4,09:32:11,2.405999999959022,0.07052065482722333,-0.004722729018584304,0.8800010681152344,0.0,0.25,0.0,True,0.02377808276055898,0.23000144958496094
5,09:32:11,2.6089999999967404,0.08227640644839826,-0.005037763975425148,0.8400001525878906,0.0,0.25,0.0,True,0.011759972074915349,-0.04000091552734375
6,09:32:12,2.8119999999762513,0.1035005780048151,-0.006127760731444767,0.9300003051757812,0.0,0.25,0.0,True,0.021252142272823873,0.09000015258789062
7,09:32:12,3.014999999955762,0.14764054523644074,-0.007467943928648609,1.1100006103515625,0.0,0.25,0.0,True,0.04416030794968545,0.18000030517578125
8,09:32:12,3.2189999999827705,0.1746269064137626,-0.008334914368033134,1.1000003814697266,0.0,0.25,0.0,True,0.027000283838056815,-0.010000228881835938
9,09:32:12,3.4219999999622814,0.2017319006753091,-0.009273462981257415,1.1100006103515625,0.0,0.25,0.0,True,0.027121238677793726,0.010000228881835938
10,09:32:12,3.625,0.23003134451517165,-0.010437892326523195,1.3600006103515625,0.0,0.25,0.0,True,0.02832338993386297,0.25
11,09:32:13,3.827999999979511,0.2574850256065277,-0.011751714659372468,1.5200004577636719,0.0,0.25,0.0,True,0.027485100228818064,0.15999984741210938
12,09:32:13,4.030999999959022,0.2841087817648965,-0.01263631741341518,1.6900005340576172,0.0,0.25,0.0,True,0.026638448040618656,0.1700000762939453
13,09:32:13,4.23399999999674,0.31176863126135584,-0.01494657940348435,1.8500003814697266,0.0,0.25,0.0,True,0.027756163002647542,0.15999984741210938
14,09:32:13,4.452999999979511,0.338377379306785,-0.01626378076120332,2.030000686645508,0.0,0.25,0.0,True,0.02664133052161447,0.18000030517578125
15,09:32:13,4.655999999959022,0.36605145575660847,-0.01799995407842759,2.0,0.0,0.25,0.0,True,0.027728483642963885,-0.030000686645507812
16,09:32:14,4.8439999999827705,0.39325745013539964,-0.01936557788703152,2.2900009155273438,0.0,0.25,0.0,True,0.027240247034956273,0.29000091552734375
17,09:32:14,5.061999999976251,0.41902055141063266,-0.020753755107880783,2.3400001525878906,0.0,0.25,0.0,True,0.025800473315704835,0.049999237060546875
18,09:32:14,5.264999999955762,0.4476609642153335,-0.02226075634866056,2.3000011444091797,0.0,0.25,0.0,True,0.028680033095576877,-0.03999900817871094
19,09:32:14,5.4689999999827705,0.47354675728134493,-0.023584559909380833,2.3299999237060547,0.0,0.25,0.0,True,0.025919620724920708,0.029998779296875
20,09:32:15,5.671999999962281,0.50316294284611,-0.024720266718976803,2.3299999237060547,0.0,0.25,0.0,True,0.02963795332616541,0.0
21,09:32:15,5.875,0.5310766808321302,-0.026365796413551208,2.4300003051757812,0.0,0.25,0.0,True,0.027962198345765223,0.10000038146972656
22,09:32:15,6.077999999979511,0.5582756766813548,-0.027864356829201936,2.4200000762939453,0.0,0.25,0.0,True,0.027240247034957185,-0.010000228881835938
23,09:32:15,6.280999999959022,0.5854801779555817,-0.029231609538637307,2.460000991821289,0.0,0.25,0.0,True,0.02723883752201758,0.04000091552734375
24,09:32:15,6.48399999999674,0.6130323752100555,-0.030874729489150907,2.6399993896484375,0.0,0.25,0.0,True,0.027601148829735418,0.17999839782714844
25,09:32:16,6.686999999976251,0.6399812411229144,-0.032574475590264176,2.520000457763672,0.0,0.25,0.0,True,0.027002416758458887,-0.11999893188476562
26,09:32:16,6.889999999955762,0.6670443544592902,-0.034386619256152225,2.8000011444091797,0.0,0.25,0.0,True,0.027123715971882276,0.2800006866455078
27,09:32:16,7.0939999999827705,0.6961357372540549,-0.03645149725989845,2.8700008392333984,0.0,0.25,0.0,True,0.029164572242395156,0.06999969482421875
28,09:32:16,7.296999999962281,0.7228253943686007,-0.038462900781490915,3.0799999237060547,0.0,0.25,0.0,True,0.02676534216143519,0.20999908447265625
