Sample,Timestamp,Elapsed_s,X_m,Y_m,Heading_deg,Command_X,Command_Y,Command_Z,TranslationAccepted,TranslationMagnitude_m,HeadingDelta_deg
1,10:39:51,3.844000000040978,0.007199372128445418,-0.00014420830556407402,0.1199951171875,0.0,0.25,0.0,True,0.0072008162786749656,0.149993896484375
2,10:39:52,4.047000000020489,0.029635683978071085,-0.0007172585040667205,0.3300018310546875,0.0,0.25,0.0,True,0.022443628849712717,0.2100067138671875
3,10:39:52,4.25,0.05266990934892802,-0.0014222476523432235,0.4199981689453125,0.0,0.25,0.0,True,0.023045011350281797,0.089996337890625
4,10:39:52,4.454000000027008,0.07606296107442613,-0.0022192842200668174,0.4300079345703125,0.0,0.25,0.0,True,0.023406625906399213,0.010009765625
5,10:39:52,4.657000000006519,0.09957733503927028,-0.0028175952352170863,0.4600067138671875,0.0,0.25,0.0,True,0.023521984589515207,0.029998779296875
6,10:39:52,4.875,0.123087677070996,-0.0038500206121682016,0.5200042724609375,0.0,0.25,0.0,True,0.02353299990667789,0.05999755859375
7,10:39:53,5.079000000027008,0.14803941541742077,-0.004643790800385059,0.5800018310546875,0.0,0.25,0.0,True,0.0249643609495646,0.05999755859375
8,10:39:53,5.282000000006519,0.18282096038651338,-0.006276349855402513,0.69000244140625,0.0,0.25,0.0,True,0.03481983801664118,0.1100006103515625
9,10:39:53,5.485000000044238,0.2064477286617407,-0.007337438395172553,0.7599945068359375,0.0,0.25,0.0,True,0.023650583249055807,0.0699920654296875
10,10:39:53,5.688000000023749,0.22983893193165397,-0.008010479624785518,0.839996337890625,0.0,0.25,0.0,True,0.023400884062598177,0.0800018310546875
11,10:39:54,5.89100000000326,0.2514249041833575,-0.009019812850199559,0.839996337890625,0.0,0.25,0.0,True,0.021609556950831728,0.0
12,10:39:54,6.094000000040978,0.27780935153522646,-0.010115629103723763,0.910003662109375,0.0,0.25,0.0,True,0.026407193628347442,0.07000732421875
13,10:39:54,6.297000000020489,0.3008335115252597,-0.011180232354159965,0.94000244140625,0.0,0.25,0.0,True,0.023048759691738016,0.029998779296875
14,10:39:54,6.51600000000326,0.3244630786026163,-0.011910241881295898,0.9199981689453125,0.0,0.25,0.0,True,0.023640840809349493,-0.0200042724609375
15,10:39:54,6.719000000040978,0.34809339715761456,-0.012615507194804818,0.82000732421875,0.0,0.25,0.0,True,0.02364084080935223,-0.0999908447265625
16,10:39:55,6.922000000020489,0.3710103735677582,-0.012876228363345909,0.8300018310546875,0.0,0.25,0.0,True,0.02291845944453521,0.0099945068359375
17,10:39:55,7.125,0.3953531324971862,-0.014127460238356966,0.82000732421875,0.0,0.25,0.0,True,0.024374894738260714,-0.0099945068359375
18,10:39:55,7.329000000027008,0.4200558857952443,-0.015334006419048448,0.9199981689453125,0.0,0.25,0.0,True,0.024732201159437098,0.0999908447265625
19,10:39:55,7.532000000006519,0.44356449169883494,-0.016127232426542876,0.9199981689453125,0.0,0.25,0.0,True,0.023521984589513368,0.0
20,10:39:55,7.75,0.4673106610782968,-0.01706699331618467,0.94000244140625,0.0,0.25,0.0,True,0.023764757746036275,0.0200042724609375
21,10:39:56,7.954000000027008,0.4902123269299564,-0.018226907898876727,1.0500030517578125,0.0,0.25,0.0,True,0.02293102048798122,0.1100006103515625
22,10:39:56,8.15700000000652,0.5135946457195548,-0.019293352620194913,1.1199951171875,0.0,0.25,0.0,True,0.023406625906397367,0.0699920654296875
23,10:39:56,8.360000000044238,0.5388927660520362,-0.020556755734646562,1.149993896484375,0.0,0.25,0.0,True,0.02532964823652936,0.029998779296875
24,10:39:56,8.563000000023749,0.5619143624136032,-0.021595336063648655,1.2599945068359375,0.0,0.25,0.0,True,0.02304501135028364,0.1100006103515625
25,10:39:56,8.76600000000326,0.5852932154807159,-0.022735233246900962,1.2700042724609375,0.0,0.25,0.0,True,0.023406625906397367,0.010009765625
26,10:39:57,8.969000000040978,0.6073565972690467,-0.023649765823321445,1.32000732421875,0.0,0.25,0.0,True,0.022082327453667165,0.0500030517578125
27,10:39:57,9.172000000020489,0.6286970832784321,-0.02468654615955859,1.2700042724609375,0.0,0.25,0.0,True,0.02136565600636648,-0.0500030517578125
28,10:39:57,9.39100000000326,0.6525515920785365,-0.02599637845798443,1.3600006103515625,0.0,0.25,0.0,True,0.023890442665305708,0.089996337890625
29,10:39:57,9.594000000040978,0.6890023912487909,-0.027551538356918027,1.350006103515625,0.0,0.25,0.0,True,0.0364839592487091,-0.0099945068359375
30,10:39:57,9.797000000020489,0.7120285206300152,-0.0283512551380223,1.25,0.0,0.25,0.0,True,0.02304001261307949,-0.100006103515625
31,10:39:58,10.0,0.7355351904950213,-0.029141346695270274,1.25,0.0,0.25,0.0,True,0.023519944149832057,0.0
32,10:39:58,10.204000000027008,0.7596403151805755,-0.030009578793552774,1.2299957275390625,0.0,0.25,0.0,True,0.024120755856369958,-0.0200042724609375
33,10:39:58,10.40700000000652,0.7830235178972775,-0.030980346058404815,1.149993896484375,0.0,0.25,0.0,True,0.023403345025292645,-0.0800018310546875
34,10:39:58,10.610000000044238,0.8078499270111892,-0.03182082979978958,1.1300048828125,0.0,0.25,0.0,True,0.024840632085574004,-0.019989013671875
35,10:39:58,10.813000000023749,0.8309914647949813,-0.032900908279959167,1.1300048828125,0.0,0.25,0.0,True,0.02316672917185341,0.0
36,10:39:59,11.03200000000652,0.8536667925250697,-0.03327888548494637,1.1300048828125,0.0,0.25,0.0,True,0.022678477780362704,0.0
37,10:39:59,11.235000000044238,0.878244156448236,-0.03463438878593075,0.9900054931640625,0.0,0.25,0.0,True,0.02461471524537168,-0.1399993896484375
38,10:39:59,11.438000000023749,0.9013926581354821,-0.035392972167351634,1.0500030517578125,0.0,0.25,0.0,True,0.02316092785514009,0.05999755859375
39,10:39:59,11.64100000000326,0.9259785225304166,-0.03631142807549715,0.970001220703125,0.0,0.25,0.0,True,0.02460301382557255,-0.0800018310546875
40,10:39:59,11.860000000044238,0.9499682476069036,-0.037009417340060996,1.040008544921875,0.0,0.25,0.0,True,0.023999877046745003,0.07000732421875
41,10:40:00,12.063000000023749,0.9733569588564895,-0.03776410998910628,0.9600067138671875,0.0,0.25,0.0,True,0.02340088406259544,-0.0800018310546875
42,10:40:00,12.26600000000326,0.9981846466827351,-0.03863480113707984,0.82000732421875,0.0,0.25,0.0,True,0.024842950426079848,-0.1399993896484375
43,10:40:00,12.469000000040978,1.0212119217979394,-0.03953876402536155,0.9199981689453125,0.0,0.25,0.0,True,0.02304501135028364,0.0999908447265625
44,10:40:00,12.688000000023749,1.045561980371299,-0.040259208474306155,0.839996337890625,0.0,0.25,0.0,True,0.024360714126027975,-0.0800018310546875
45,10:40:01,12.89100000000326,1.0690720658417063,-0.04100729951390629,0.779998779296875,0.0,0.25,0.0,True,0.023521984589515207,-0.05999755859375
46,10:40:01,13.094000000040978,1.1062610806100264,-0.041896845077554624,0.6800079345703125,0.0,0.25,0.0,True,0.037199652024557,-0.0999908447265625
47,10:40:01,13.28200000000652,1.118017860273764,-0.04217084351026507,0.6399993896484375,0.0,0.25,0.0,True,0.011759972074916029,-0.040008544921875
48,10:40:01,13.5,1.1536460251312974,-0.04319547097164153,0.649993896484375,0.0,0.25,0.0,True,0.035642895400769384,0.0099945068359375
49,10:40:01,13.719000000040978,1.1775172070234114,-0.043953346576407114,0.660003662109375,0.0,0.25,0.0,True,0.023883209590812728,0.010009765625
50,10:40:02,13.922000000020489,1.201150689959496,-0.04454312491014005,0.5200042724609375,0.0,0.25,0.0,True,0.02364084080935223,-0.1399993896484375
51,10:40:02,14.125,1.2262220492417901,-0.04539857075473572,0.540008544921875,0.0,0.25,0.0,True,0.02508594913203239,0.0200042724609375
52,10:40:02,14.344000000040978,1.2498561368096037,-0.04596360085121455,0.5200042724609375,0.0,0.25,0.0,True,0.023640840809349493,-0.0200042724609375
53,10:40:02,14.547000000020489,1.2728922462309338,-0.04631324668425861,0.529998779296875,0.0,0.25,0.0,True,0.0230387627593163,0.0099945068359375
54,10:40:02,14.75,1.2976020010445506,-0.0473667129826088,0.5,0.0,0.25,0.0,True,0.02473220115943621,-0.029998779296875
