X_m,Y_m
-0.32499999999999973,-3.475
-0.17499999999999982,-3.475
-0.125,-3.475
-0.07499999999999973,-3.475
-0.02499999999999991,-3.475
0.025000000000000355,-3.475
0.07500000000000018,-3.475
0.125,-3.475
0.17500000000000027,-3.475
0.2250000000000001,-3.475
0.27500000000000036,-3.475
0.3250000000000002,-3.475
0.375,-3.475
-0.4249999999999998,-3.425
-0.375,-3.425
-0.32499999999999973,-3.425
-0.2749999999999999,-3.425
-0.22499999999999964,-3.425
-0.17499999999999982,-3.425
-0.125,-3.425
-0.07499999999999973,-3.425
-0.02499999999999991,-3.425
0.025000000000000355,-3.425
0.07500000000000018,-3.425
-0.6749999999999998,-3.375
-0.625,-3.375
-0.5749999999999997,-3.375
-0.5249999999999999,-3.375
-0.47499999999999964,-3.375
-0.4249999999999998,-3.375
-0.375,-3.375
-0.32499999999999973,-3.375
-0.2749999999999999,-3.375
-0.22499999999999964,-3.375
-0.17499999999999982,-3.375
-0.9249999999999998,-3.325
-0.875,-3.325
-0.8249999999999997,-3.325
-0.7749999999999999,-3.325
-0.7249999999999996,-3.325
-0.6749999999999998,-3.325
-0.625,-3.325
-0.5749999999999997,-3.325
-0.5249999999999999,-3.325
-0.4249999999999998,-3.325
-0.375,-3.325
1.9250000000000007,-3.325
2.0250000000000004,-3.325
2.075,-3.325
2.125,-3.325
2.2250000000000005,-3.325
-1.125,-3.275
-1.0749999999999997,-3.275
-1.025,-3.275
-0.9749999999999996,-3.275
-0.9249999999999998,-3.275
-0.875,-3.275
-0.8249999999999997,-3.275
-0.7749999999999999,-3.275
-0.7249999999999996,-3.275
-0.6749999999999998,-3.275
1.6750000000000007,-3.275
1.7250000000000005,-3.275
1.7750000000000004,-3.275
1.8250000000000002,-3.275
1.875,-3.275
1.9250000000000007,-3.275
1.9750000000000005,-3.275
2.0250000000000004,-3.275
2.075,-3.275
2.125,-3.275
2.1750000000000007,-3.275
2.2250000000000005,-3.275
-1.375,-3.225
-1.3249999999999997,-3.225
-1.275,-3.225
-1.225,-3.225
-1.1749999999999998,-3.225
-1.125,-3.225
-1.0749999999999997,-3.225
-1.025,-3.225
-0.9749999999999996,-3.225
-0.9249999999999998,-3.225
1.375,-3.225
1.4750000000000005,-3.225
1.5250000000000004,-3.225
1.5750000000000002,-3.225
1.625,-3.225
1.6750000000000007,-3.225
1.7250000000000005,-3.225
1.7750000000000004,-3.225
1.8250000000000002,-3.225
1.875,-3.225
1.9250000000000007,-3.225
1.9750000000000005,-3.225
2.075,-3.225
2.125,-3.225
2.1750000000000007,-3.225
2.2250000000000005,-3.225
2.575,-3.225
2.625,-3.225
2.6750000000000007,-3.225
2.7250000000000005,-3.225
2.7750000000000004,-3.225
2.875,-3.225
2.9250000000000007,-3.225
-1.575,-3.175
-1.525,-3.175
-1.475,-3.175
-1.4249999999999998,-3.175
-1.375,-3.175
-1.3249999999999997,-3.175
-1.275,-3.175
-1.225,-3.175
-1.1749999999999998,-3.175
1.1749999999999998,-3.175
1.2250000000000005,-3.175
1.2750000000000004,-3.175
1.3250000000000002,-3.175
1.375,-3.175
1.4250000000000007,-3.175
1.4750000000000005,-3.175
1.5250000000000004,-3.175
1.5750000000000002,-3.175
1.625,-3.175
1.6750000000000007,-3.175
1.7250000000000005,-3.175
1.7750000000000004,-3.175
1.8250000000000002,-3.175
1.875,-3.175
1.9750000000000005,-3.175
2.1750000000000007,-3.175
2.2250000000000005,-3.175
2.325,-3.175
2.375,-3.175
2.4250000000000007,-3.175
2.4750000000000005,-3.175
2.5250000000000004,-3.175
2.575,-3.175
2.625,-3.175
2.6750000000000007,-3.175
2.7250000000000005,-3.175
2.7750000000000004,-3.175
2.825,-3.175
2.875,-3.175
2.9250000000000007,-3.175
2.9750000000000005,-3.175
3.0250000000000004,-3.175
-1.825,-3.125
-1.775,-3.125
-1.7249999999999999,-3.125
-1.6749999999999998,-3.125
-1.625,-3.125
-1.575,-3.125
-1.525,-3.125
-1.475,-3.125
-1.4249999999999998,-3.125
-1.3249999999999997,-3.125
0.9750000000000005,-3.125
1.0250000000000004,-3.125
1.0750000000000002,-3.125
1.125,-3.125
1.1749999999999998,-3.125
1.2250000000000005,-3.125
1.2750000000000004,-3.125
1.3250000000000002,-3.125
1.375,-3.125
1.4250000000000007,-3.125
1.4750000000000005,-3.125
1.5250000000000004,-3.125
1.5750000000000002,-3.125
1.625,-3.125
1.6750000000000007,-3.125
1.7250000000000005,-3.125
2.075,-3.125
2.1750000000000007,-3.125
2.2250000000000005,-3.125
2.2750000000000004,-3.125
2.325,-3.125
2.375,-3.125
2.4250000000000007,-3.125
2.4750000000000005,-3.125
2.5250000000000004,-3.125
2.575,-3.125
2.625,-3.125
2.7250000000000005,-3.125
2.875,-3.125
2.9250000000000007,-3.125
2.9750000000000005,-3.125
3.0250000000000004,-3.125
-2.075,-3.075
-2.025,-3.075
-1.9749999999999999,-3.075
-1.9249999999999998,-3.075
-1.875,-3.075
-1.825,-3.075
-1.775,-3.075
-1.7249999999999999,-3.075
-1.6749999999999998,-3.075
-1.625,-3.075
-1.575,-3.075
-1.525,-3.075
0.9249999999999998,-3.075
0.9750000000000005,-3.075
1.0250000000000004,-3.075
1.0750000000000002,-3.075
1.125,-3.075
1.1749999999999998,-3.075
1.2250000000000005,-3.075
1.2750000000000004,-3.075
1.3250000000000002,-3.075
1.375,-3.075
1.4250000000000007,-3.075
1.4750000000000005,-3.075
2.075,-3.075
2.125,-3.075
2.1750000000000007,-3.075
2.2250000000000005,-3.075
2.2750000000000004,-3.075
2.325,-3.075
2.375,-3.075
2.4250000000000007,-3.075
2.4750000000000005,-3.075
2.5250000000000004,-3.075
2.575,-3.075
2.9750000000000005,-3.075
3.0250000000000004,-3.075
-2.425,-3.025
-2.275,-3.025
-2.2249999999999996,-3.025
-2.175,-3.025
-2.125,-3.025
-2.075,-3.025
-2.025,-3.025
-1.9749999999999999,-3.025
-1.9249999999999998,-3.025
-1.875,-3.025
-1.825,-3.025
-1.775,-3.025
0.8250000000000002,-3.025
0.875,-3.025
0.9249999999999998,-3.025
0.9750000000000005,-3.025
1.0250000000000004,-3.025
1.0750000000000002,-3.025
1.125,-3.025
1.1749999999999998,-3.025
1.4750000000000005,-3.025
1.9750000000000005,-3.025
2.125,-3.025
2.1750000000000007,-3.025
2.2250000000000005,-3.025
2.2750000000000004,-3.025
-2.575,-2.975
-2.525,-2.975
-2.4749999999999996,-2.975
-2.425,-2.975
-2.375,-2.975
-2.325,-2.975
-2.275,-2.975
-2.2249999999999996,-2.975
-2.175,-2.975
-2.125,-2.975
-2.075,-2.975
-2.025,-2.975
-1.825,-2.975
-1.7249999999999999,-2.975
0.8250000000000002,-2.975
0.875,-2.975
0.9249999999999998,-2.975
1.3250000000000002,-2.975
2.075,-2.975
2.125,-2.975
2.1750000000000007,-2.975
2.2250000000000005,-2.975
-2.775,-2.925
-2.725,-2.925
-2.675,-2.925
-2.625,-2.925
-2.575,-2.925
-2.525,-2.925
-2.4749999999999996,-2.925
-2.425,-2.925
-2.375,-2.925
-2.325,-2.925
-2.075,-2.925
-2.025,-2.925
-1.9749999999999999,-2.925
0.6749999999999998,-2.925
2.125,-2.925
2.1750000000000007,-2.925
2.2250000000000005,-2.925
2.2750000000000004,-2.925
2.325,-2.925
2.4250000000000007,-2.925
-3.025,-2.875
-2.975,-2.875
-2.925,-2.875
-2.875,-2.875
-2.825,-2.875
-2.775,-2.875
-2.725,-2.875
-2.675,-2.875
-2.625,-2.875
-2.575,-2.875
-2.525,-2.875
-2.4749999999999996,-2.875
-2.375,-2.875
-2.325,-2.875
-2.275,-2.875
-2.2249999999999996,-2.875
-2.175,-2.875
-2.125,-2.875
-2.075,-2.875
-3.275,-2.825
-3.225,-2.825
-3.175,-2.825
-3.125,-2.825
-3.075,-2.825
-3.025,-2.825
