X_m,Y_m
2.7250000000000005,-3.475
2.7750000000000004,-3.475
2.6750000000000007,-3.425
2.7750000000000004,-3.425
1.1749999999999998,-3.275
1.2250000000000005,-3.275
1.2750000000000004,-3.275
1.3250000000000002,-3.275
1.4750000000000005,-3.275
1.1749999999999998,-3.225
1.2750000000000004,-3.225
1.3250000000000002,-3.225
1.375,-3.225
1.4250000000000007,-3.225
1.4750000000000005,-3.225
1.5250000000000004,-3.225
1.5750000000000002,-3.225
1.375,-3.175
1.4250000000000007,-3.175
1.4750000000000005,-3.175
1.5250000000000004,-3.175
1.5750000000000002,-3.175
1.625,-3.175
3.075,-3.175
1.375,-3.125
1.4250000000000007,-3.125
1.5250000000000004,-3.125
1.5750000000000002,-3.125
3.0250000000000004,-3.125
-0.125,-3.075
-0.07499999999999973,-3.075
1.2250000000000005,-3.075
1.2750000000000004,-3.075
1.3250000000000002,-3.075
1.4250000000000007,-3.075
3.075,-3.075
3.1750000000000007,-3.075
3.4750000000000005,-3.075
-0.5249999999999999,-3.025
3.325,-3.025
3.4250000000000007,-3.025
1.4250000000000007,-2.975
-0.8249999999999997,-2.925
1.3250000000000002,-2.925
-0.125,-2.875
-0.07499999999999973,-2.875
0.5750000000000002,-2.875
0.625,-2.875
0.6749999999999998,-2.875
0.7250000000000005,-2.875
-0.8249999999999997,-2.825
-0.7749999999999999,-2.825
-0.7249999999999996,-2.825
0.6749999999999998,-2.825
0.7250000000000005,-2.825
0.7750000000000004,-2.825
1.9250000000000007,-2.825
1.9750000000000005,-2.825
2.0250000000000004,-2.825
2.075,-2.825
-2.875,-2.775
-2.825,-2.775
-0.875,-2.775
0.7250000000000005,-2.775
-2.875,-2.725
-2.825,-2.725
0.5750000000000002,-2.725
0.625,-2.725
0.6749999999999998,-2.725
0.7250000000000005,-2.725
0.7750000000000004,-2.725
0.8250000000000002,-2.725
0.875,-2.725
2.625,-2.725
2.6750000000000007,-2.725
2.7250000000000005,-2.725
-2.925,-2.675
-2.875,-2.675
-2.825,-2.675
0.875,-2.675
-2.875,-2.625
-2.825,-2.625
0.9249999999999998,-2.625
-2.875,-2.575
-2.825,-2.575
0.8250000000000002,-2.575
0.875,-2.575
0.9249999999999998,-2.575
2.5250000000000004,-2.575
2.575,-2.575
-2.875,-2.525
-2.825,-2.525
0.8250000000000002,-2.525
0.9249999999999998,-2.525
2.5250000000000004,-2.525
2.575,-2.525
2.625,-2.525
2.6750000000000007,-2.525
2.7250000000000005,-2.525
2.7750000000000004,-2.525
2.825,-2.525
2.875,-2.525
-2.925,-2.4749999999999996
-2.875,-2.4749999999999996
-2.825,-2.4749999999999996
2.7750000000000004,-2.4749999999999996
2.875,-2.4749999999999996
2.9250000000000007,-2.4749999999999996
-2.925,-2.425
-2.875,-2.425
-2.825,-2.425
-0.875,-2.425
2.875,-2.425
2.9250000000000007,-2.425
-2.925,-2.375
-2.875,-2.375
-2.825,-2.375
-2.925,-2.325
-2.825,-2.325
-0.9749999999999996,-2.325
-0.8249999999999997,-2.325
3.125,-2.325
3.325,-2.325
-2.875,-2.275
-2.825,-2.275
-0.9749999999999996,-2.275
-0.8249999999999997,-2.275
-0.7749999999999999,-2.275
-0.7249999999999996,-2.275
-0.625,-2.275
1.4750000000000005,-2.275
1.5250000000000004,-2.275
3.125,-2.275
3.1750000000000007,-2.275
3.2250000000000005,-2.275
3.325,-2.275
3.4250000000000007,-2.275
3.4750000000000005,-2.275
-2.925,-2.2249999999999996
-2.825,-2.2249999999999996
-2.775,-2.2249999999999996
-1.9249999999999998,-2.2249999999999996
1.5250000000000004,-2.2249999999999996
1.5750000000000002,-2.2249999999999996
1.625,-2.2249999999999996
3.125,-2.2249999999999996
3.1750000000000007,-2.2249999999999996
3.2250000000000005,-2.2249999999999996
3.375,-2.2249999999999996
3.4250000000000007,-2.2249999999999996
3.4750000000000005,-2.2249999999999996
-2.875,-2.175
-2.825,-2.175
-2.775,-2.175
-1.9249999999999998,-2.175
-1.525,-2.175
-1.475,-2.175
-0.47499999999999964,-2.175
-0.4249999999999998,-2.175
1.5750000000000002,-2.175
1.625,-2.175
1.6750000000000007,-2.175
3.1750000000000007,-2.175
